matchId,matchDate,matchType,accessId,nickname,seasonId,matchResult,matchEndType,systemPause,foul,injury,redCards,yellowCards,dribble,cornerKick,possession,offsideCount,averageRating,controller,shootTotal,effectiveShootTotal,shootOutScore,goalTotal,goalTotalDisplay,ownGoal,shootHeading,goalHeading,shootFreekick,goalFreekick,shootInPenalty,goalInPenalty,shootOutPenalty,goalOutPenalty,shootPenaltyKick,goalPenaltyKick,passTry,passSuccess,shortPassTry,shortPassSuccess,longPassTry,longPassSuccess,bouncingLobPassTry,bouncingLobPassSuccess,drivenGroundPassTry,drivenGroundPassSuccess,throughPassTry,throughPassSuccess,lobbedThroughPassTry,lobbedThroughPassSuccess,blockTry,blockSuccess,tackleTry,tackleSuccess
652aa1063f7a009d12b0d130,2023-10-14T23:19:58,52,bb42c7220cb1c110c9fe4d97,속도를조절못하니,202310,승,0,0,0,0,0,0,74,0,48,3,4.36667,keyboard,4,4,0,3,3,0,1,1,0,0,3,2,1,1,0,0,99,94,56,55,4,2,0,0,5,5,28,28,6,4,3,0,5,4
652aa1063f7a009d12b0d130,2023-10-14T23:19:58,52,1d8450ef71aa816cfd494356,산공유,202310,패,0,0,0,0,0,0,95,2,52,1,3.67222,keyboard,4,2,0,1,1,0,1,1,0,0,2,1,2,0,0,0,127,116,83,82,8,3,0,0,12,12,21,17,3,2,7,0,7,5
652a9e3a550f0bf03fb48052,2023-10-14T23:07:22,52,bc20a90e396f8526473fb64a,부르렁캉캉,202310,무,0,0,1,1,0,1,68,4,44,0,4.06667,keyboard,6,5,0,1,1,0,1,0,0,0,3,0,3,1,0,0,88,76,50,45,7,2,1,1,5,5,18,17,6,6,9,0,7,4
652a9e3a550f0bf03fb48052,2023-10-14T23:07:22,52,1d8450ef71aa816cfd494356,산공유,202310,무,0,0,0,0,0,0,92,2,56,0,4.21667,keyboard,5,4,0,1,1,0,3,1,0,0,4,1,1,0,0,0,121,113,73,70,6,5,1,0,9,9,27,24,5,5,10,2,8,5
652a9ba4b0af21dedadd0040,2023-10-14T22:56:55,52,6c05aa09a0d06dd7d7f0dfdf,아이네좋아해요,202310,승,0,0,1,0,0,1,97,1,52,1,4.43889,keyboard,6,6,0,3,3,0,1,0,0,0,5,2,1,1,0,0,113,107,77,75,3,1,0,0,7,7,21,19,5,5,6,0,5,3
652a9ba4b0af21dedadd0040,2023-10-14T22:56:55,52,1d8450ef71aa816cfd494356,산공유,202310,패,0,0,0,1,0,0,71,1,48,1,3.65556,keyboard,2,2,0,1,1,0,0,0,0,0,2,1,0,0,0,0,97,84,60,57,8,1,0,0,6,6,18,16,5,4,6,1,5,4
652a98c1a23cb418a4bf3712,2023-10-14T22:44:20,52,b5ee9aa44175f87cc5714464,시리야뭐해,202310,무,0,0,1,0,0,0,95,2,53,1,4.15556,keyboard,3,3,0,1,1,0,1,0,0,0,2,1,1,0,0,0,132,122,91,90,8,1,0,0,6,6,23,21,4,4,4,0,5,3
652a98c1a23cb418a4bf3712,2023-10-14T22:44:20,52,1d8450ef71aa816cfd494356,산공유,202310,무,0,0,0,1,0,0,69,2,47,0,4.01111,keyboard,4,2,0,1,1,0,0,0,1,0,2,0,2,1,0,0,91,77,57,57,6,3,1,0,5,5,16,11,6,1,6,0,4,3
652a9627ead1a134c7235014,2023-10-14T22:33:11,52,b0913ea5c479548d83cd923b,이달호,202310,패,0,0,0,0,0,0,99,3,55,0,4.07222,keyboard,7,7,0,1,1,0,2,0,0,0,5,0,2,1,0,0,125,112,75,75,10,4,0,0,9,9,23,20,5,4,4,1,3,0
652a9627ead1a134c7235014,2023-10-14T22:33:11,52,1d8450ef71aa816cfd494356,산공유,202310,승,0,0,0,0,0,0,65,3,45,0,4.5,keyboard,9,6,0,3,3,0,2,1,0,0,7,3,2,0,0,0,102,90,58,58,6,2,0,0,1,1,32,27,5,2,13,1,8,6
